orderID,itemID,quantity,time,customerName,takeOut,price
0,4,3,02/19/2022 16:42,John,yes,
1,11,1,08/09/2022 11:57,Alice,no,
2,8,2,12/14/2022 05:21,Michael,no,
3,5,2,09/17/2022 19:08,Emily,yes,
4,0,3,06/26/2022 08:33,William,no,
5,10,3,05/11/2022 14:49,Olivia,no,
6,17,1,04/01/2022 03:27,James,yes,
7,7,3,01/15/2022 22:14,Sophia,no,
8,3,1,03/08/2022 09:56,Charlotte,yes,
9,6,1,11/02/2022 07:04,Matthew,no,
10,13,2,07/23/2022 18:15,Oliver,yes,
11,1,2,11/10/2022 04:39,Evelyn,no,
12,5,2,02/03/2022 22:08,Liam,no,
13,3,3,03/29/2022 15:54,Emma,yes,
14,19,2,12/06/2022 10:20,Lucas,no,
15,14,3,06/15/2022 07:47,Ava,yes,
16,18,2,09/01/2022 11:30,Isabella,no,
17,16,1,04/22/2022 21:02,Mia,yes,
18,9,3,05/19/2022 14:16,William,no,
19,2,3,01/29/2022 12:55,Sophia,yes,
20,5,3,08/03/2022 06:43,James,no,
21,7,2,07/04/2022 09:11,Olivia,yes,
22,10,3,12/27/2022 19:28,Noah,no,
23,15,1,02/13/2022 03:37,Ella,yes,
24,11,3,03/11/2022 05:19,Benjamin,no,
25,4,1,05/28/2022 23:58,Liam,yes,
26,8,2,10/20/2022 14:09,Charlotte,no,
27,6,3,09/30/2022 17:32,Ava,yes,
28,1,2,06/18/2022 12:14,William,no,
29,12,3,04/25/2022 08:05,Liam,yes,
30,0,3,12/01/2022 04:28,Olivia,no,
31,15,1,10/04/2022 16:26,Lucas,no,
32,19,1,07/31/2022 02:53,Liam,no,
33,17,1,11/19/2022 13:03,Evelyn,no,
34,14,3,08/25/2022 20:41,Isabella,no,
35,3,3,03/06/2022 05:48,Ella,no,
36,8,2,05/07/2022 21:35,Noah,no,
37,2,1,02/06/2022 23:12,Ava,no,
38,9,3,09/23/2022 14:58,Lucas,no,
39,13,2,10/31/2022 06:09,Oliver,no,
40,16,3,01/14/2022 09:20,Emma,no,
41,7,2,04/09/2022 08:57,William,yes,
42,10,2,07/13/2022 01:48,James,yes,
43,0,2,11/24/2022 07:03,Charlotte,yes,
44,12,3,03/18/2022 10:27,Sophia,no,
45,4,1,05/26/2022 16:04,Liam,no,
46,6,2,09/14/2022 15:36,Ava,no,
47,18,2,02/22/2022 08:41,Mia,yes,
48,2,3,12/15/2022 04:02,Isabella,no,
49,11,3,06/07/2022 22:22,Oliver,yes,
50,1,2,08/20/2022 19:03,Emma,no,
51,5,2,10/26/2022 12:51,Olivia,no,
52,7,3,05/15/2022 15:14,Liam,no,
53,8,1,03/22/2022 01:47,Charlotte,no,
54,3,3,02/09/2022 09:08,Ella,yes,
