orderID,itemID,quantity,time,customerName,takeOut,price
0,4,3,2/19/2022 16:42,John,yes,0
1,11,1,8/9/2022 11:57,Alice,no,0
2,8,2,12/14/2022 5:21,Michael,no,0
3,5,2,9/17/2022 19:08,Emily,yes,0
4,0,3,6/26/2022 8:33,William,no,0
5,10,3,5/11/2022 14:49,Olivia,no,0
6,17,1,4/1/2022 3:27,James,yes,0
7,7,3,1/15/2022 22:14,Sophia,no,0
8,3,1,3/8/2022 9:56,Charlotte,yes,0
9,6,1,11/2/2022 7:04,Matthew,no,0
10,13,2,7/23/2022 18:15,Oliver,yes,0
11,1,2,11/10/2022 4:39,Evelyn,no,0
12,5,2,2/3/2022 22:08,Liam,no,0
13,3,3,3/29/2022 15:54,Emma,yes,0
14,19,2,12/6/2022 10:20,Lucas,no,0
15,14,3,6/15/2022 7:47,Ava,yes,0
16,18,2,9/1/2022 11:30,Isabella,no,0
17,16,1,4/22/2022 21:02,Mia,yes,0
18,9,3,5/19/2022 14:16,William,no,0
19,2,3,1/29/2022 12:55,Sophia,yes,0
20,5,3,8/3/2022 6:43,James,no,0
21,7,2,7/4/2022 9:11,Olivia,yes,0
22,10,3,12/27/2022 19:28,Noah,no,0
23,15,1,2/13/2022 3:37,Ella,yes,0
24,11,3,3/11/2022 5:19,Benjamin,no,0
25,4,1,5/28/2022 23:58,Liam,yes,0
26,8,2,10/20/2022 14:09,Charlotte,no,0
27,6,3,9/30/2022 17:32,Ava,yes,0
28,1,2,6/18/2022 12:14,William,no,0
29,12,3,4/25/2022 8:05,Liam,yes,0
30,0,3,12/1/2022 4:28,Olivia,no,0
31,15,1,10/4/2022 16:26,Lucas,no,0
32,19,1,7/31/2022 2:53,Liam,no,0
33,17,1,11/19/2022 13:03,Evelyn,no,0
34,14,3,8/25/2022 20:41,Isabella,no,0
35,3,3,3/6/2022 5:48,Ella,no,0
36,8,2,5/7/2022 21:35,Noah,no,0
37,2,1,2/6/2022 23:12,Ava,no,0
38,9,3,9/23/2022 14:58,Lucas,no,0
39,13,2,10/31/2022 6:09,Oliver,no,0
40,16,3,1/14/2022 9:20,Emma,no,0
41,7,2,4/9/2022 8:57,William,yes,0
42,10,2,7/13/2022 1:48,James,yes,0
43,0,2,11/24/2022 7:03,Charlotte,yes,0
44,12,3,3/18/2022 10:27,Sophia,no,0
